Language,Default

#PE

#,Main Quest: Equipment

#,Purpose: Equipment Tutorial.
#,Place: Doctor's office in the medical
#,"Actor: Player, Ida Shahane, Isko Exconde"
#,"Note: Dialogue displayed when player tries to leave the room without wearing required cloth, or successfully wears the cloths"
#,KeyPrefix: Act01_MQ_02

#,(When Player leave the room without taking clothes.)
Act01_MQ_02_01_Isko,"Ого, ого! Ты же правда не хочешь разозлить Иду, тем что покинешь клинику в одном нижнем белье. Давай ты не будешь усложнять нам жизнь, так что надевай одежду пока никто тебя не увидел. "

#,(If Equip clothes and shoes)
Act01_MQ_02_02_Ida,"Немного жмёт, но на время сойдет. "
Act01_MQ_02_03_Narration,"(Она была праваt.Вы делаете мысленную пометку "найти новую одежду" позже, но затем слышите урчание в своем пустом желудке.)"
Act01_MQ_02_04_Ida,"Я тоже услышала. Используй <color=#FFA500>Омнископ</color> чтобы найти Паб, и наёди что-нибудь чтобы утолить свою полифагию. Я уже дала им знать, что ты придешь, у них всё готово."
Act01_MQ_02_05_Isko,"Ох, я за его суп умереть готов. <color=#FFFF00>Спросите Альпа.</color> Он крупный мужчина с удивительно идеальными усами, и что хорошо для тебя, он любит знакомиться с новыми людьми. "
Act01_MQ_02_06_Ida,"Имей в виду что ошушать голод после криостазиса нормально, ешьте по кусочку и слушаите своё тело. "
Act01_MQ_02_07_Ida,"Теперь иди, но не пропусти следующую проверку."

#,[Equipment] Quest Basic NPC Talk
Ida_Basic_Eq,"Ох прекрасно. Пожалуйста не говори что твоя одежда пропала."
Isko_Basic_Eq,"Лучше делать то что Ида говорит, или мы пробудем здесь весь день."
